$DATA1 SOURCE='PrimeSim HSPICE' VERSION='R-2020.12-SP2 linux64' PARAM_COUNT=1
.TITLE '**testbench**'
 size             rising_delay     temper           alter#          
  1.600e-06        1.243e-10         25.0000        1               
  1.610e-06        1.110e-10         25.0000        1               
  1.620e-06        1.245e-10         25.0000        1               
  1.630e-06        1.241e-10         25.0000        1               
  1.640e-06        1.245e-10         25.0000        1               
  1.650e-06        1.247e-10         25.0000        1               
  1.660e-06        1.251e-10         25.0000        1               
  1.670e-06        1.239e-10         25.0000        1               
  1.680e-06        1.250e-10         25.0000        1               
  1.690e-06        1.242e-10         25.0000        1               
  1.700e-06        1.247e-10         25.0000        1               
  1.710e-06        1.251e-10         25.0000        1               
  1.720e-06        1.254e-10         25.0000        1               
  1.730e-06        1.246e-10         25.0000        1               
  1.740e-06        1.257e-10         25.0000        1               
  1.750e-06        1.257e-10         25.0000        1               
  1.760e-06        1.273e-10         25.0000        1               
  1.770e-06        1.258e-10         25.0000        1               
  1.780e-06        1.259e-10         25.0000        1               
  1.790e-06        1.277e-10         25.0000        1               
  1.800e-06        1.279e-10         25.0000        1               
  1.810e-06        1.260e-10         25.0000        1               
  1.820e-06        1.262e-10         25.0000        1               
  1.830e-06        1.139e-10         25.0000        1               
  1.840e-06        1.273e-10         25.0000        1               
  1.850e-06        1.142e-10         25.0000        1               
  1.860e-06        1.276e-10         25.0000        1               
  1.870e-06        1.285e-10         25.0000        1               
  1.880e-06        1.267e-10         25.0000        1               
  1.890e-06        1.279e-10         25.0000        1               
  1.900e-06        1.267e-10         25.0000        1               
  1.910e-06        1.281e-10         25.0000        1               
  1.920e-06        1.282e-10         25.0000        1               
  1.930e-06        1.152e-10         25.0000        1               
  1.940e-06        1.295e-10         25.0000        1               
  1.950e-06        1.273e-10         25.0000        1               
  1.960e-06        1.154e-10         25.0000        1               
  1.970e-06        1.156e-10         25.0000        1               
  1.980e-06        1.279e-10         25.0000        1               
  1.990e-06        1.277e-10         25.0000        1               
  2.000e-06        1.278e-10         25.0000        1               
  2.010e-06        1.293e-10         25.0000        1               
  2.020e-06        1.289e-10         25.0000        1               
  2.030e-06        1.283e-10         25.0000        1               
  2.040e-06        1.163e-10         25.0000        1               
  2.050e-06        1.167e-10         25.0000        1               
  2.060e-06        1.168e-10         25.0000        1               
  2.070e-06        1.170e-10         25.0000        1               
  2.080e-06        1.169e-10         25.0000        1               
  2.090e-06        1.172e-10         25.0000        1               
  2.100e-06        1.173e-10         25.0000        1               
  2.110e-06        1.303e-10         25.0000        1               
  2.120e-06        1.293e-10         25.0000        1               
  2.130e-06        1.177e-10         25.0000        1               
  2.140e-06        1.179e-10         25.0000        1               
  2.150e-06        1.323e-10         25.0000        1               
  2.160e-06        1.329e-10         25.0000        1               
  2.170e-06        1.330e-10         25.0000        1               
  2.180e-06        1.302e-10         25.0000        1               
  2.190e-06        1.303e-10         25.0000        1               
  2.200e-06        1.188e-10         25.0000        1               
  2.210e-06        1.187e-10         25.0000        1               
  2.220e-06        1.188e-10         25.0000        1               
  2.230e-06        1.191e-10         25.0000        1               
  2.240e-06        1.192e-10         25.0000        1               
  2.250e-06        1.193e-10         25.0000        1               
  2.260e-06        1.325e-10         25.0000        1               
  2.270e-06        1.197e-10         25.0000        1               
  2.280e-06        1.195e-10         25.0000        1               
  2.290e-06        1.317e-10         25.0000        1               
  2.300e-06        1.319e-10         25.0000        1               
  2.310e-06        1.322e-10         25.0000        1               
  2.320e-06        1.323e-10         25.0000        1               
  2.330e-06        1.349e-10         25.0000        1               
  2.340e-06        1.206e-10         25.0000        1               
  2.350e-06        1.336e-10         25.0000        1               
  2.360e-06        1.209e-10         25.0000        1               
  2.370e-06        1.213e-10         25.0000        1               
  2.380e-06        1.213e-10         25.0000        1               
  2.390e-06        1.213e-10         25.0000        1               
  2.400e-06        1.214e-10         25.0000        1               
  2.410e-06        1.340e-10         25.0000        1               
  2.420e-06        1.219e-10         25.0000        1               
  2.430e-06        1.221e-10         25.0000        1               
  2.440e-06        1.220e-10         25.0000        1               
  2.450e-06        1.341e-10         25.0000        1               
  2.460e-06        1.343e-10         25.0000        1               
  2.470e-06        1.344e-10         25.0000        1               
  2.480e-06        1.347e-10         25.0000        1               
  2.490e-06        1.346e-10         25.0000        1               
  2.500e-06        1.352e-10         25.0000        1               
  2.510e-06        1.351e-10         25.0000        1               
  2.520e-06        1.359e-10         25.0000        1               
  2.530e-06        1.351e-10         25.0000        1               
